Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep,overall_score
30/6/20 21:57,1/7/20 5:59,402,79,40,481,32,282,88,71
29/6/20 21:35,30/6/20 6:02,444,63,36,507,51,332,61,78
28/6/20 22:01,29/6/20 6:01,420,60,36,480,37,335,48,78
27/6/20 22:05,28/6/20 9:27,567,115,51,682,83,390,94,75
26/6/20 21:40,27/6/20 7:35,495,100,35,595,75,335,85,78
25/6/20 21:27,26/6/20 5:54,424,83,34,507,63,268,93,76
24/6/20 21:06,25/6/20 6:04,462,76,39,538,89,314,59,77
23/6/20 21:22,24/6/20 6:02,439,81,42,520,51,312,76,77
22/6/20 21:23,23/6/20 6:04,410,111,27,521,29,285,96,64
21/6/20 21:24,22/6/20 6:17,459,74,32,533,67,333,59,77
20/6/20 21:17,21/6/20 8:18,567,94,40,661,87,395,85,76
19/6/20 22:02,20/6/20 6:59,473,64,46,537,102,318,53,73
18/6/20 21:56,19/6/20 6:37,447,74,47,521,89,267,91,80
17/6/20 22:02,18/6/20 6:01,409,70,36,479,40,283,86,72
16/6/20 20:54,17/6/20 5:58,455,89,34,544,59,318,78,76
15/6/20 21:20,16/6/20 6:03,451,72,33,523,67,318,66,77
14/6/20 21:33,15/6/20 6:04,434,77,36,511,65,303,66,79
13/6/20 21:00,14/6/20 8:11,590,81,58,671,106,388,96,79
12/6/20 20:55,13/6/20 7:47,546,106,50,652,48,410,88,74
11/6/20 21:16,12/6/20 5:59,433,90,37,523,49,275,109,77
10/6/20 22:08,11/6/20 7:03,470,65,44,535,74,316,80,79
9/6/20 22:57,10/6/20 6:44,397,70,39,467,44,283,70,74
8/6/20 21:00,9/6/20 5:53,450,83,43,533,109,267,74,82
7/6/20 21:13,8/6/20 6:08,447,88,33,535,67,343,37,75
6/6/20 23:21,7/6/20 7:46,449,56,44,505,77,281,91,73
5/6/20 21:33,6/6/20 7:52,538,80,45,618,93,365,80,81
4/6/20 21:53,5/6/20 7:00,449,98,40,547,70,291,88,76
3/6/20 21:31,4/6/20 6:12,450,71,44,521,75,288,87,79
2/6/20 21:22,3/6/20 6:00,455,63,44,518,68,296,91,80
1/6/20 21:14,2/6/20 6:46,490,82,38,572,86,330,74,83
31/5/20 21:03,1/6/20 6:00,471,66,42,537,60,355,56,79
