Start Time,End Time,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
30/6/20 21:57,1/7/20 5:59,71,16,20,35,87,58,0.15576324
29/6/20 21:35,30/6/20 6:02,78,16,21,41,61,60,0.137931034
28/6/20 22:01,29/6/20 6:01,78,15,22,41,48,60,0.127481714
27/6/20 22:05,28/6/20 9:27,75,17,16,42,94,57,0.123809524
26/6/20 21:40,27/6/20 7:35,78,17,19,42,85,57,0.210747271
25/6/20 21:27,26/6/20 5:54,76,17,20,39,93,59,0.168472906
24/6/20 21:06,25/6/20 6:04,77,18,20,39,58,59,0.164345404
23/6/20 21:22,24/6/20 6:02,77,16,21,40,75,59,0.143135346
22/6/20 21:23,23/6/20 6:04,64,16,19,29,96,60,0.174496644
21/6/20 21:24,22/6/20 6:17,77,17,20,40,59,61,0.132146204
20/6/20 21:17,21/6/20 8:18,76,17,16,43,85,59,0.154195011
19/6/20 22:02,20/6/20 6:59,73,20,12,41,52,58,0.148182665
18/6/20 21:56,19/6/20 6:37,80,19,21,40,90,59,0.139980825
17/6/20 22:02,18/6/20 6:01,72,16,19,37,86,60,0.173137461
16/6/20 20:54,17/6/20 5:58,76,17,21,38,77,61,0.139298893
15/6/20 21:20,16/6/20 6:03,77,17,20,40,66,62,0.142311366
14/6/20 21:33,15/6/20 6:04,79,17,21,41,66,63,0.120879121
13/6/20 21:00,14/6/20 8:11,79,19,15,45,95,61,0.118922962
12/6/20 20:55,13/6/20 7:47,74,16,15,43,87,60,0.139103555
11/6/20 21:16,12/6/20 5:59,77,18,21,38,109,60,0.1352657
10/6/20 22:08,11/6/20 7:03,79,17,21,41,80,60,0.147525677
9/6/20 22:57,10/6/20 6:44,74,16,22,36,70,61,0.122977346
8/6/20 21:00,9/6/20 5:53,82,21,20,41,74,62,0.125961538
7/6/20 21:13,8/6/20 6:08,75,16,20,39,37,61,0.132953466
6/6/20 23:21,7/6/20 7:46,73,18,13,42,91,60,0.108565737
5/6/20 21:33,6/6/20 7:52,81,18,19,44,80,59,0.145631068
4/6/20 21:53,5/6/20 7:00,76,17,22,37,88,59,0.111415525
3/6/20 21:31,4/6/20 6:12,79,18,21,40,87,59,0.126558006
2/6/20 21:22,3/6/20 6:00,80,17,22,41,91,59,0.114754098
1/6/20 21:14,2/6/20 6:46,83,18,21,44,73,61,0.125874126
31/5/20 21:03,1/6/20 6:00,79,16,22,41,56,62,0.110697674
30/5/20 22:32,31/5/20 8:40,78,16,19,43,93,63,0.161290323
29/5/20 23:49,30/5/20 8:38,74,17,17,40,72,61,0.146364495
28/5/20 22:05,29/5/20 7:16,76,17,20,39,72,60,0.108794198
27/5/20 21:54,28/5/20 7:04,79,18,21,40,121,60,0.116257947
26/5/20 21:11,27/5/20 5:53,79,21,18,40,102,59,0.129186603
25/5/20 21:51,26/5/20 5:50,76,18,22,36,44,60,0.099372385
24/5/20 21:30,25/5/20 6:47,89,21,22,46,44,59,0.076294278
23/5/20 22:17,24/5/20 9:51,84,18,23,43,87,58,0.088552916
22/5/20 21:39,23/5/20 8:32,77,19,16,42,111,55,0.125478194
21/5/20 21:16,22/5/20 5:47,68,17,21,30,87,55,0.113614104
20/5/20 21:08,21/5/20 5:52,73,15,20,38,42,54,0.131805158
19/5/20 20:40,20/5/20 5:48,76,17,20,39,72,54,0.115770283
