timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
2020-07-02T06:23:30Z,86,21,22,43,90,59,0.05942623
2020-07-01T06:03:30Z,77,21,21,35,125,61,0.091463415
2020-06-30T05:57:00Z,78,20,22,36,79,60,0.058201058
2020-06-29T06:05:00Z,76,20,22,34,75,61,0.067885117
2020-06-28T09:20:30Z,82,20,20,42,126,62,0.097102584
2020-06-27T07:12:30Z,88,22,21,45,98,62,0.080349345
2020-06-26T06:55:30Z,82,22,21,39,105,63,0.109268293
2020-06-25T06:03:30Z,86,22,21,43,98,64,0.081612586
2020-06-24T06:06:30Z,81,21,20,40,92,65,0.087922705
2020-06-23T06:53:30Z,83,21,22,40,91,66,0.08863026
2020-06-22T06:11:00Z,83,22,20,41,94,67,0.115121951
2020-06-21T07:40:30Z,81,21,16,44,135,66,0.112890312
2020-06-20T06:59:30Z,74,19,16,39,104,64,0.111420613
2020-06-19T06:18:30Z,86,22,22,42,94,65,0.079178886
2020-06-18T06:01:30Z,82,21,22,39,80,65,0.063564132
2020-06-17T05:56:00Z,84,22,20,42,115,65,0.089215686
2020-06-16T05:59:30Z,86,24,21,41,130,66,0.09765625
2020-06-15T05:59:30Z,84,21,23,40,108,68,0.097512438
2020-06-14T07:40:30Z,81,20,17,44,94,66,0.096463023
2020-06-13T07:36:30Z,80,20,16,44,119,65,0.112087912
2020-06-12T05:59:00Z,82,21,20,41,73,65,0.101090188
2020-06-11T07:56:30Z,87,23,18,46,133,64,0.072119613
2020-06-10T08:12:30Z,85,22,21,42,108,64,0.074468085
2020-06-08T06:04:30Z,86,22,22,42,97,66,0.081708449
2020-06-07T07:16:30Z,80,22,16,42,111,65,0.075804777
2020-06-06T07:36:30Z,87,23,19,45,116,65,0.078828829
2020-06-05T06:35:00Z,88,23,23,42,122,65,0.077934272
2020-06-04T07:08:30Z,85,20,21,44,72,64,0.098388465
2020-06-03T05:50:30Z,86,22,22,42,108,64,0.074404762
2020-06-02T05:44:30Z,86,22,23,41,118,64,0.071219512
2020-06-01T05:31:30Z,77,23,18,36,108,63,0.110671937
