Sleep,,,,,,,,
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
2020-07-01 10:05PM,2020-07-02 6:23AM,456,42,37,498,94,271,91
2020-06-30 9:43PM,2020-07-01 6:03AM,412,88,32,500,79,208,125
2020-06-29 10:03PM,2020-06-30 5:57AM,412,61,26,473,91,242,79
2020-06-28 11:24PM,2020-06-29 6:05AM,342,59,26,401,71,196,75
2020-06-27 10:42PM,2020-06-28 9:20AM,530,108,39,638,98,305,127
2020-06-26 9:33PM,2020-06-27 7:12AM,509,70,41,579,139,271,99
2020-06-25 10:23PM,2020-06-26 6:55AM,440,72,22,512,119,216,105
2020-06-24 9:25PM,2020-06-25 6:03AM,474,44,35,518,114,262,98
2020-06-23 9:21PM,2020-06-24 6:06AM,450,75,37,525,103,255,92
2020-06-22 9:35PM,2020-06-23 6:53AM,492,66,36,558,115,286,91
2020-06-21 9:38PM,2020-06-22 6:11AM,449,63,37,512,105,249,95
2020-06-20 9:16PM,2020-06-21 7:40AM,540,84,39,624,99,306,135
2020-06-19 9:58PM,2020-06-20 6:59AM,456,85,39,541,87,265,104
2020-06-18 9:40PM,2020-06-19 6:18AM,466,52,34,518,109,263,94
2020-06-17 10:31PM,2020-06-18 6:01AM,404,46,28,450,95,229,80
2020-06-16 9:20PM,2020-06-17 5:56AM,460,56,32,516,101,244,115
2020-06-15 9:27PM,2020-06-16 5:59AM,451,61,36,512,127,194,130
2020-06-14 9:37PM,2020-06-15 5:59AM,436,66,35,502,96,231,109
2020-06-13 9:17PM,2020-06-14 7:40AM,547,76,41,623,109,344,94
2020-06-12 8:10PM,2020-06-13 7:36AM,600,86,43,686,110,371,119
2020-06-11 9:34PM,2020-06-12 5:59AM,443,61,34,504,101,269,73
2020-06-10 10:22PM,2020-06-11 7:56AM,511,63,38,574,110,267,134
2020-06-09 11:33PM,2020-06-10 8:12AM,473,46,33,519,103,261,109
